1	1	  5.10	  0.59	  3.81	  0.06
1	2	  3.70	  0.51	  0.71	  0.03
1	3	  3.89	  0.52	  0.38	  0.08
1	4	  4.64	  0.51	  0.45	  0.11
1	5	  5.36	  0.48	  0.89	  0.03
1	6	  6.21	  0.50	  1.28	  0.08
1	7	  6.30	  0.65	  0.55	  0.42
1	8	  6.99	  0.47	  0.70	  0.03
1	9	  9.24	  0.58	  2.92	  0.49
1	10	  7.98	  0.43	  2.03	  0.07
2	1	  2.66	  0.64	  0.63	  0.14
2	2	  2.70	  0.39	  0.22	  0.04
2	3	  3.64	  0.42	  0.61	  0.04
2	4	  4.44	  0.38	  1.34	  0.03
2	5	  4.85	  0.44	  0.82	  0.08
2	6	  5.18	  0.39	  0.87	  0.02
2	7	  5.73	  0.38	  0.73	  0.02
2	8	  6.21	  0.41	  0.91	  0.03
2	9	  6.81	  0.42	  0.56	  0.08
2	10	  8.07	  0.41	  1.64	  0.03
3	1	  2.42	  0.61	  0.47	  0.06
3	2	  3.43	  0.38	  0.74	  0.04
3	3	  3.77	  0.42	  0.57	  0.07
3	4	  4.28	  0.40	  0.59	  0.03
3	5	  4.81	  0.45	  0.85	  0.08
3	6	  5.04	  0.40	  0.39	  0.02
3	7	  6.80	  0.40	  1.97	  0.10
3	8	  6.54	  0.50	  0.58	  0.22
3	9	  7.12	  0.42	  0.83	  0.07
3	10	  8.78	  0.38	  2.33	  0.05
4	1	  2.50	  0.40	  0.19	  0.02
4	2	  3.18	  0.42	  0.39	  0.08
4	3	  3.85	  0.40	  0.60	  0.02
4	4	  4.15	  0.40	  0.44	  0.02
4	5	  4.86	  0.40	  0.29	  0.02
4	6	  5.46	  0.40	  0.29	  0.02
4	7	  5.89	  0.43	  0.84	  0.05
4	8	  6.49	  0.37	  0.63	  0.02
4	9	  7.17	  0.37	  0.69	  0.02
4	10	  6.64	  0.37	  0.19	  0.02
5	1	  3.18	  0.42	240.34	  0.08
5	2	  3.47	  0.40	  0.47	  0.02
5	3	  3.73	  0.40	  0.43	  0.02
5	4	  4.48	  0.40	  0.28	  0.09
5	5	  4.89	  0.40	  0.41	  0.02
5	6	  5.49	  0.37	  0.69	  0.02
5	7	  6.34	  0.37	  0.29	  0.02
5	8	  6.72	  0.40	  0.56	  0.03
5	9	  7.33	  0.38	  0.59	  0.03
5	10	  8.08	  0.42	  0.78	  0.08
6	1	  3.17	  0.40	  0.46	  0.10
6	2	  3.53	  0.42	  0.42	  0.08
6	3	  4.07	  0.41	  0.26	  0.07
6	4	  4.89	  0.40	 71.88	  0.02
6	5	  5.52	  0.42	 61.12	  0.04
6	6	  6.09	  0.40	  0.21	  0.02
6	7	  6.80	  0.51	102.16	  0.23
6	8	  6.84	  0.40	  0.62	  0.14
6	9	  7.98	  0.39	 64.55	  0.03
6	10	  8.19	  0.37	 20.14	  0.02
7	1	  3.23	  0.42	  0.18	  0.08
7	2	  3.90	  0.45	  0.33	  0.08
7	3	  5.06	  0.46	  1.33	  0.12
7	4	  5.28	  0.49	  1.31	  0.18
7	5	  5.71	  0.42	  0.22	  0.09
7	6	  6.34	  0.39	  0.41	  0.03
7	7	  6.60	  0.43	  0.58	  0.14
7	8	  7.44	  0.38	  0.62	  0.07
7	9	  7.43	  0.39	  0.59	  0.02
7	10	  7.59	  0.37	  0.52	  0.04
8	1	  3.74	  0.40	  0.59	  0.03
8	2	  4.21	  0.38	  0.38	  0.06
8	3	  4.67	  0.39	  0.81	  0.08
8	4	  5.53	  0.40	  1.82	  0.05
8	5	  6.11	  0.37	  0.88	  0.03
8	6	  6.45	  0.40	  0.47	  0.02
8	7	  7.37	  0.40	  0.66	  0.02
8	8	  7.79	  0.40	  0.27	  0.02
8	9	  8.53	  0.40	  0.86	  0.02
8	10	  8.68	  0.38	  1.35	  0.08
9	1	  4.05	  0.40	  0.31	  0.02
9	2	  4.75	  0.44	  0.56	  0.12
9	3	  5.06	  0.42	  0.97	  0.10
9	4	  5.76	  0.37	  0.87	  0.05
9	5	  6.85	  0.39	  2.35	  0.05
9	6	  6.22	  0.40	  0.72	  0.02
9	7	  7.39	  0.42	  0.59	  0.08
9	8	  8.10	  0.40	  0.26	  0.02
9	9	  8.64	  0.40	  0.18	  0.02
9	10	  8.61	  0.37	  0.93	  0.03
10	1	  4.37	  0.42	  0.32	  0.08
10	2	  4.93	  0.42	  0.26	  0.06
10	3	  5.50	  0.42	  0.87	  0.08
10	4	  6.19	  0.40	  0.82	  0.02
10	5	  6.69	  0.40	  0.63	  0.02
10	6	  7.32	  0.40	  0.47	  0.02
10	7	  7.97	  0.40	  0.77	  0.03
10	8	  8.01	  0.40	  0.57	  0.13
10	9	  8.72	  0.44	  1.09	  0.08
10	10	  9.36	  0.80	  1.83	  0.27
