"Tipologia";"Denominazione";"longitudine";"Indirizzo";"gid";"Latitudine";"Comune";
"Privati federati";"Viale Africa, 10";"12.3732000000";"Viale Africa, 10";"1";"42.0579000000";"Formello";
"Privati federati";"Via Mazzini, 1";"12.8964000000";"Via Mazzini, 1";"2";"42.0175000000";"Vicovaro";
"Privati federati";"Via Domenico Jachino, 181";"12.4475000000";"Via Domenico Jachino, 181";"3";"41.8091000000";"Roma";
"Pubblici";"a.s.d Funsport";"12.4132000000";"via giuseppe de luca 30";"4";"41.9064000000";"Roma";
"Privati federati";"A.S.D. Bracelli Club";"12.4942000000";"Via Maria Battistini, 260";"5";"41.8905000000";"Roma";
"Privati federati";"ABC American Bar & Coffee";"12.5185000000";"Via Pian di Sco, 60";"6";"41.9621000000";"Roma";
"Pubblici";"Accademia di San Luca";"12.4835860000";"Piazza Dell'Accademia Di San Luca 77";"7";"41.9016600000";"Roma";
"Pubblici";"Accademia di San Luca - Biblioteca";"12.4836000000";"Via Accademia di San Luca";"8";"41.9022000000";"Roma";
"Pubblici";"Accademia di San Luca - Giardino";"12.4838000000";"Piazza  Accademia di San Luca";"9";"41.9018000000";"Roma";
"Pubblici";"Accademia Filarmonica Romana - Sala Casella";"12.4738485000";"Via Flaminia, 118";"10";"41.9166031000";"Roma";
"Pubblici";"Acquario Romano";"12.5030260000";"Piazza Manfredo Fanti, 47";"11";"41.8976790000";"Roma";
"Pubblici";"Acquario Romano";"12.5027950000";"Piazza Manfredo Fanti, 47";"12";"41.8979000000";"Roma";
"Privati federati";"Aeffe";"12.5094000000";"Via Satrico,83";"13";"41.8763000000";"Roma";
"Privati federati";"Agriturismo Casale di Trigoria";"12.4842980000";"Via Grotte Di Penseroni 14";"14";"41.7543550000";"Roma";
"Privati federati";"Agriturismo Casale di Trigoria";"12.4842980000";"Via Grotte Dei Penseroni 14";"15";"41.7543550000";"Roma";
"Privati federati";"Agriturismo Corte in fiore";"12.5677080000";"Via Degli Olivi 16";"16";"41.5588430000";"Ardea";
"Privati federati";"Agriturismo Corte in fiore";"12.5677080000";"Via Degli Olivi 16";"17";"41.5588430000";"Ardea";
"Privati federati";"Agriturismo Zugarelli";"12.2772000000";"via di San francesco 2590";"18";"42.0726000000";"Anguillara Sabazia";
"Privati federati";"Alma Nuoto";"12.5541690000";"Viale Dei Consoli, 24";"19";"41.8635280000";"Roma";
"Privati federati";"Antico bar dell'orso";"12.4733770000";"Via Dell'orso 30";"20";"41.9018240000";"Roma";
"Pubblici";"Antico Caffè Castellino";"12.4827490000";"Via Cesare Battisti,, 135b";"21";"41.8968211000";"Roma";
"Pubblici";"Antico Caffè della pace";"12.4710273000";"Via della Pace, 5";"22";"41.8993729000";"Roma";
"Privati federati";"Arca di Capena (piano terra)";"12.5833000000";"Via Tiberina 73 A";"23";"42.1072000000";"Capena";
"Pubblici";"Archivio Storico";"12.1769150000";"Piazza Mazzini";"24";"42.1041592000";"Bracciano";
"Privati federati";"Area Sporting Club";"12.4450480000";"Via Della Mendola 288";"25";"41.9486620000";"Roma";
"Privati federati";"Area Sporting Club";"12.4450480000";"Via Della Mendola 288";"26";"41.9486620000";"Roma";
"Pubblici";"Area Verde - Bar Dolce e Salato";"12.5764824000";"Viale Battista Bardanzellu, 136";"27";"41.9147814000";"Roma";
"Pubblici";"Area Verde - Bar Dolce e Salato";"12.5764824000";"Viale Battista Bardanzellu, 136";"28";"41.9147814000";"Roma";
"Pubblici";"Area Verde - Chiosco bar";"12.4853547000";"Via Duccio di Buoninsegna, 115";"29";"41.8551485000";"Roma";
"Pubblici";"Area verde - Scuola primaria G.Gesmundo";"12.5897361000";"Piazza Cesare De Cupis, 20";"30";"41.9042586000";"Roma";
"Pubblici";"Area Verde - Tree bar";"12.4712670000";"Via Flaminia 226";"31";"41.9229920000";"Roma";
"Privati federati";"ASD De Rossi Fitness & Wellness";"12.5235000000";"Via Appia Nuova 464";"32";"41.8741000000";"Roma";
"Privati federati";"ASD Dojo zen";"12.5125810000";"Via degli equi 22";"33";"41.8968700000";"Roma";
"Pubblici";"Asilo Nido";"12.5156721000";"Via dei Sabelli, 88";"34";"41.8970433000";"Roma";
"Privati federati";"Ass. Punto a capo";"12.6622670000";"Via Antonio Fratti, 17";"35";"41.7682005000";"Marino";
"Privati federati";"Ass. Senza Frontiere";"12.6608971000";"Corso Trieste, 54";"36";"41.7693512000";"Marino";
"Pubblici";"Assessorato Formazione Provincia di Roma";"12.4845718000";"Via delle Tre Cannelle";"37";"41.8964923000";"Roma";
"Privati federati";"Associazione Artipelago";"12.5001640000";"Via Roma 32";"38";"42.1271320000";"Castelnuovo di Porto";
"Privati federati";"Associazione Atmos - Artiterapeutiche";"12.4848000000";"via Giovanni Ansaldo 6";"39";"41.8638000000";"Roma";
"Privati federati";"Associazione Camminare Insieme";"12.5807310000";"Via Giggi Pizzirani, 25";"40";"41.8661670000";"Roma";
"Pubblici";"Associazione culturale Casale Garibaldi";"12.5561634000";"Via Romolo Balzani, 87";"41";"41.8822814000";"Roma";
"Privati federati";"Associazione culturale Casetta Rossa";"12.4883530000";"Via Magnaghi 14";"42";"41.8649010000";"Roma";
"Privati federati";"Associazione Emporio Naturale";"12.6141740000";"Via Ricciotti Garibaldi 24";"43";"42.0520770000";"Monterotondo";
"Privati federati";"Associazione Ippogrifo";"13.0184900000";"Via Cappuccini 7";"44";"41.6871370000";"Segni";
"Privati federati";"Associazione Le nove muse";"12.8925170000";"Piazza Regina Margherita";"45";"41.8389000000";"Palestrina";
"Privati federati";"Associazione Monte Pellecchia";"12.8952360000";"Piazza Della Veduta";"46";"42.0821990000";"Licenza";
"Privati federati";"Associazione nautica campo di Mare";"12.0384000000";"Lungomare dei Navigatori Etruschi 9";"47";"41.9723000000";"Cerveteri";
"Privati federati";"Associazione Per fare Insieme onlus";"12.5312260000";"Via Pelagosa 3";"48";"41.9373090000";"Roma";
"Privati federati";"Associazione sportiva La Ferratella";"12.4648000000";"Via Salvatore Quasimodo 124";"49";"41.8156000000";"Roma";
"Pubblici";"Associazione sportiva Piscine di Torrespaccata";"12.5802171000";"Via Bruno Pelizzi, 165";"50";"41.8589654000";"Roma";
"Privati federati";"Associazione Underground";"12.6213400000";"Via V. Reno 5";"51";"42.0498890000";"Monterotondo";
"Privati federati";"Aubergine Bar c/o Centro comm. Cassia";"12.3775750000";"Via Cassia 2040";"52";"42.0343300000";"Roma";
"Pubblici";"Auditorium della Conciliazione";"12.4637180442";"Via Della Conciliazione, 4";"53";"41.9026201675";"Roma";
"Pubblici";"Auditorium Parco della Musica";"12.4745730000";"Viale Pietro de Coubertin";"54";"41.9291420000";"Roma";
"Pubblici";"Auditorium Parco della Musica";"12.4731700000";"Viale Pietro de Coubertin";"55";"41.9294410000";"Roma";
"Pubblici";"Auditorium Parco della Musica";"12.4730980000";"Viale Pietro de Coubertin";"56";"41.9297410000";"Roma";
"Pubblici";"Auditorium Parco della Musica";"12.4749110000";"Viale Pietro de Coubertin";"57";"41.9291740000";"Roma";
"Pubblici";"Auditorium Parco della Musica - Anfiteatro";"12.4746270000";"Viale Pietro De Coubertin, 30";"58";"41.9293260000";"Roma";
"Pubblici";"Auditorium Parco della Musica - Biblioteca";"12.4742390000";"Viale Pietro De Coubertin, 30";"59";"41.9298180000";"Roma";
"Pubblici";"Auditorium Parco della Musica - Biglietteria";"12.4744180000";"Viale Pietro De Coubertin, 30";"60";"41.9293260000";"Roma";
"Pubblici";"Auditorium Parco della Musica - Guardaroba";"12.4742350000";"Viale Pietro De Coubertin, 30";"61";"41.9289260000";"Roma";
"Pubblici";"Auditorium Parco della Musica - Museo Archeologico";"12.4751690000";"Viale Pietro De Coubertin, 30";"62";"41.9289420000";"Roma";
